ticker,window_start,open,close,high,low,volume,transactions
QQQ,1772010000000000000,608.95,608.81,608.97,608.81,4107,104
QQQ,1772010060000000000,608.8,608.96,609,608.8,1630,73
QQQ,1772010120000000000,608.93,608.94,608.94,608.93,310,16
QQQ,1772010180000000000,608.93,608.83,608.93,608.83,539,18
QQQ,1772010240000000000,608.73,608.73,608.76,608.71,759,27
QQQ,1772010300000000000,608.71,608.64,608.71,608.56,923,29
QQQ,1772010360000000000,608.76,608.73,608.76,608.73,1215,32
QQQ,1772010420000000000,608.85,608.86,608.86,608.85,581,11
QQQ,1772010480000000000,609,609,609.05,609,709,36
QQQ,1772010540000000000,609.07,609.13,609.15,609.01,9217,140
QQQ,1772010600000000000,609.13,609.2,609.22,609.13,2829,35
QQQ,1772010660000000000,609.24,609.11,609.28,609.07,1026,34
QQQ,1772010720000000000,609.09,609.02,609.11,609,1055,19
QQQ,1772010840000000000,609.14,609.14,609.14,609.14,143,7
QQQ,1772010900000000000,608.95,608.96,608.96,608.95,238,20
QQQ,1772010960000000000,608.92,608.92,608.97,608.89,1049,25
QQQ,1772011020000000000,609.04,609.09,609.1,609.03,1424,29
QQQ,1772011080000000000,609.09,609.13,609.13,609.07,2853,33
QQQ,1772011140000000000,609,608.98,609.01,608.98,604,14
QQQ,1772011200000000000,608.98,609.04,609.04,608.98,403,10
QQQ,1772011260000000000,609.05,609.1,609.1,609.03,2527,24
QQQ,1772011320000000000,609.17,609.14,609.18,609.09,1010,20
QQQ,1772011380000000000,609.13,609.06,609.13,609.06,965,18
QQQ,1772011440000000000,609,608.97,609,608.96,720,24
QQQ,1772011500000000000,608.98,609,609,608.97,485,13
QQQ,1772011560000000000,609.01,609.09,609.09,609.01,2079,29
QQQ,1772011620000000000,609.03,609.03,609.03,609.03,109,5
QQQ,1772011680000000000,609.02,608.83,609.02,608.81,782,30
QQQ,1772011740000000000,608.8,608.87,608.87,608.78,3078,27
QQQ,1772011800000000000,608.9,608.91,608.97,608.88,732,19
QQQ,1772011860000000000,608.83,608.84,608.84,608.83,336,6
QQQ,1772011920000000000,608.88,608.8,608.88,608.79,1061,19
QQQ,1772011980000000000,608.8,608.8,608.8,608.8,100,1
QQQ,1772012040000000000,608.95,608.86,608.95,608.86,609,8
QQQ,1772012100000000000,608.97,608.97,608.97,608.97,106,11
QQQ,1772012160000000000,608.8,608.86,608.86,608.8,424,14
QQQ,1772012220000000000,608.86,609.01,609.01,608.86,1607,29
QQQ,1772012280000000000,609,609,609.04,608.99,872,13
QQQ,1772012340000000000,609.05,609.04,609.05,609.01,952,16
QQQ,1772012400000000000,609.01,609.01,609.01,609.01,149,6
QQQ,1772012460000000000,609.14,609.13,609.15,609.11,906,16
QQQ,1772012520000000000,609.14,609.15,609.15,609.14,1394,12
QQQ,1772012580000000000,609.18,609.07,609.18,609.07,1257,28
QQQ,1772012640000000000,609.11,609.19,609.19,609.11,216,10
QQQ,1772012700000000000,609.18,609.15,609.18,609.13,861,20
QQQ,1772012760000000000,609.18,609.26,609.31,609.16,3159,80
QQQ,1772012820000000000,609.27,609.05,609.28,609.05,4110,92
QQQ,1772012880000000000,609.11,609.16,609.21,609.02,1048,41
QQQ,1772012940000000000,609.05,609.04,609.07,609.04,668,15
QQQ,1772013000000000000,609.09,609.05,609.12,609.05,1258,27
QQQ,1772013060000000000,609.02,609.03,609.03,609.02,410,7
QQQ,1772013120000000000,609.04,609.09,609.09,609.04,2440,23
QQQ,1772013180000000000,609.06,609.09,609.09,609.06,251,4
QQQ,1772013240000000000,609.12,609.12,609.13,609.12,797,15
QQQ,1772013300000000000,609.16,609.16,609.16,609.16,225,7
QQQ,1772013360000000000,609.16,609.16,609.19,609.16,1002,30
QQQ,1772013420000000000,609.19,609.19,609.19,609.17,615,21
QQQ,1772013540000000000,609.18,609.17,609.21,609.17,620,18
QQQ,1772013600000000000,609.19,609.23,609.27,609.19,2246,34
QQQ,1772013660000000000,609.25,609.26,609.26,609.25,469,11
QQQ,1772013720000000000,609.27,609.12,609.27,609.12,1107,45
QQQ,1772013780000000000,609.06,609.06,609.06,609.06,1060,38
QQQ,1772013840000000000,609.07,609.04,609.08,609.04,677,43
QQQ,1772013900000000000,608.97,608.85,608.97,608.84,4424,68
QQQ,1772013960000000000,608.83,608.88,608.94,608.82,4224,66
QQQ,1772014020000000000,608.88,608.94,608.94,608.84,678,20
QQQ,1772014080000000000,608.93,608.96,608.96,608.93,165,7
QQQ,1772014140000000000,608.98,608.98,608.98,608.98,51,2
QQQ,1772014260000000000,608.95,608.92,608.96,608.92,872,24
QQQ,1772014380000000000,608.83,608.9,608.91,608.82,715,27
QQQ,1772014440000000000,608.87,608.89,608.89,608.86,528,12
QQQ,1772014500000000000,608.94,608.95,608.95,608.94,194,9
QQQ,1772014560000000000,608.96,608.96,608.96,608.96,201,9
QQQ,1772014620000000000,608.95,608.96,608.96,608.95,948,19
QQQ,1772014680000000000,608.95,608.95,608.95,608.95,368,13
QQQ,1772014740000000000,608.9,608.84,608.9,608.81,1750,30
QQQ,1772014800000000000,608.87,608.84,608.87,608.84,694,13
QQQ,1772014860000000000,608.84,608.83,608.87,608.82,2038,36
QQQ,1772014920000000000,608.81,608.99,608.99,608.81,2487,48
QQQ,1772014980000000000,609.04,609.03,609.1,609.02,3626,59
QQQ,1772015040000000000,608.97,608.97,608.97,608.97,189,6
QQQ,1772015100000000000,608.97,609.04,609.04,608.94,1086,20
QQQ,1772015160000000000,609.01,609.05,609.05,609.01,1273,19
QQQ,1772015220000000000,609.07,609.05,609.11,609.01,3376,56
QQQ,1772015280000000000,609.11,609.13,609.19,609.1,1976,46
QQQ,1772015340000000000,609.07,609.07,609.07,609.07,115,6
QQQ,1772015520000000000,609.13,609.15,609.15,609.13,1563,26
QQQ,1772015580000000000,609.08,608.98,609.08,608.98,976,24
QQQ,1772015640000000000,609.02,609.05,609.05,609.02,384,13
QQQ,1772015700000000000,609.09,609.15,609.15,609.09,1410,33
QQQ,1772015760000000000,609.2,609.38,609.41,609.2,2663,73
QQQ,1772015820000000000,609.35,609.41,609.41,609.32,1222,31
