datetime,open,high,low,close,volume,vwap
2026-01-05 09:30:00,0.7,1.4,0.7,1.32,4835,1.1492
2026-01-05 09:35:00,1.29,1.55,1.13,1.43,6936,1.3476
2026-01-05 09:40:00,1.43,1.74,0.97,1.06,10635,1.3327
2026-01-05 09:45:00,1.06,1.46,0.83,1.07,7779,1.0956
2026-01-05 09:50:00,1.08,1.3,0.86,0.97,5610,1.0695
2026-01-05 09:55:00,0.96,1.31,0.86,1.03,4788,1.0836
2026-01-05 10:00:00,1,1.29,0.67,0.71,6506,0.9123
2026-01-05 10:05:00,0.7,0.82,0.6,0.61,3634,0.6881
2026-01-05 10:10:00,0.61,0.73,0.59,0.62,1790,0.6522
2026-01-05 10:15:00,0.6,0.71,0.49,0.49,3284,0.5562
2026-01-05 10:20:00,0.48,0.57,0.43,0.44,4546,0.4916
2026-01-05 10:25:00,0.44,0.57,0.34,0.37,3651,0.4024
2026-01-05 10:30:00,0.36,0.39,0.3,0.32,3244,0.3292
2026-01-05 10:35:00,0.33,0.44,0.31,0.41,1514,0.3846
2026-01-05 10:40:00,0.41,0.47,0.33,0.45,2272,0.3996
2026-01-05 10:45:00,0.45,0.45,0.35,0.37,2240,0.3819
2026-01-05 10:50:00,0.36,0.41,0.31,0.36,1825,0.3521
2026-01-05 10:55:00,0.37,0.41,0.29,0.31,1108,0.3258
2026-01-05 11:00:00,0.32,0.36,0.28,0.3,703,0.3148
2026-01-05 11:05:00,0.28,0.31,0.23,0.24,1281,0.2602
2026-01-05 11:10:00,0.24,0.26,0.2,0.26,3242,0.2293
2026-01-05 11:15:00,0.26,0.27,0.22,0.24,531,0.2436
2026-01-05 11:20:00,0.24,0.25,0.2,0.2,716,0.2124
2026-01-05 11:25:00,0.21,0.21,0.18,0.2,1158,0.1932
2026-01-05 11:30:00,0.2,0.21,0.17,0.2,2036,0.1787
2026-01-05 11:35:00,0.21,0.21,0.17,0.18,308,0.1913
2026-01-05 11:40:00,0.18,0.22,0.16,0.18,923,0.1898
2026-01-05 11:45:00,0.17,0.18,0.12,0.13,2962,0.1347
2026-01-05 11:50:00,0.12,0.16,0.12,0.16,1265,0.1312
2026-01-05 11:55:00,0.16,0.22,0.15,0.21,710,0.189
2026-01-05 12:00:00,0.21,0.21,0.16,0.19,483,0.188
2026-01-05 12:05:00,0.19,0.21,0.17,0.2,1420,0.1966
2026-01-05 12:10:00,0.19,0.23,0.15,0.15,812,0.1856
2026-01-05 12:15:00,0.16,0.24,0.15,0.21,894,0.2179
2026-01-05 12:20:00,0.21,0.29,0.21,0.27,2135,0.2648
2026-01-05 12:25:00,0.27,0.35,0.27,0.29,6593,0.317
2026-01-05 12:30:00,0.29,0.39,0.28,0.34,4846,0.3469
2026-01-05 12:35:00,0.34,0.35,0.24,0.26,2544,0.2724
2026-01-05 12:40:00,0.26,0.32,0.24,0.31,1866,0.2957
2026-01-05 12:45:00,0.3,0.31,0.2,0.24,1704,0.2388
2026-01-05 12:50:00,0.23,0.3,0.23,0.26,1362,0.2807
2026-01-05 12:55:00,0.25,0.28,0.21,0.22,537,0.237
2026-01-05 13:00:00,0.22,0.25,0.18,0.2,912,0.2027
2026-01-05 13:05:00,0.2,0.4,0.2,0.3,4875,0.305
2026-01-05 13:10:00,0.3,0.37,0.27,0.33,3304,0.3285
2026-01-05 13:15:00,0.33,0.72,0.33,0.48,12233,0.505
2026-01-05 13:20:00,0.49,0.59,0.3,0.31,7097,0.4676
2026-01-05 13:25:00,0.3,0.36,0.25,0.26,4256,0.2952
2026-01-05 13:30:00,0.27,0.28,0.21,0.24,2249,0.2386
2026-01-05 13:35:00,0.24,0.34,0.21,0.24,2441,0.2577
2026-01-05 13:40:00,0.22,0.23,0.16,0.16,2626,0.187
2026-01-05 13:45:00,0.16,0.17,0.13,0.13,1347,0.1417
2026-01-05 13:50:00,0.14,0.17,0.14,0.15,776,0.161
2026-01-05 13:55:00,0.16,0.17,0.14,0.16,665,0.1592
2026-01-05 14:00:00,0.15,0.16,0.12,0.13,1215,0.1351
2026-01-05 14:05:00,0.13,0.18,0.13,0.15,818,0.1586
2026-01-05 14:10:00,0.16,0.24,0.15,0.18,1778,0.1912
2026-01-05 14:15:00,0.18,0.2,0.17,0.19,548,0.1857
2026-01-05 14:20:00,0.17,0.2,0.17,0.2,559,0.1862
2026-01-05 14:25:00,0.2,0.25,0.17,0.23,1465,0.2237
2026-01-05 14:30:00,0.24,0.26,0.2,0.22,2605,0.2338
2026-01-05 14:35:00,0.22,0.41,0.21,0.36,8856,0.2999
2026-01-05 14:40:00,0.36,0.62,0.36,0.43,15120,0.4794
2026-01-05 14:45:00,0.44,0.44,0.24,0.28,3243,0.3325
2026-01-05 14:50:00,0.29,0.38,0.28,0.3,3104,0.3444
2026-01-05 14:55:00,0.29,0.32,0.2,0.26,3010,0.2445
2026-01-05 15:00:00,0.27,0.34,0.24,0.3,1877,0.2841
2026-01-05 15:05:00,0.29,0.31,0.13,0.13,2826,0.1921
2026-01-05 15:10:00,0.14,0.14,0.1,0.1,2824,0.1161
2026-01-05 15:15:00,0.1,0.11,0.08,0.09,1444,0.0934
2026-01-05 15:20:00,0.1,0.11,0.08,0.08,1320,0.0937
2026-01-05 15:25:00,0.08,0.09,0.07,0.07,1209,0.0789
2026-01-05 15:30:00,0.07,0.11,0.06,0.08,3451,0.0762
2026-01-05 15:35:00,0.09,0.09,0.06,0.07,1781,0.0777
2026-01-05 15:40:00,0.07,0.08,0.05,0.06,941,0.0655
2026-01-05 15:45:00,0.06,0.07,0.02,0.02,3620,0.0411
2026-01-05 15:50:00,0.03,0.12,0.02,0.1,2158,0.0551
2026-01-05 15:55:00,0.12,0.12,0.02,0.02,4253,0.0547
2026-01-05 16:00:00,0.02,0.04,0.01,0.01,983,0.0241
2026-01-05 16:05:00,0.01,0.02,0.01,0.02,431,0.015
2026-01-05 16:10:00,0.01,0.03,0.01,0.01,2942,0.0159
