datetime,open,high,low,close,volume,vwap
2026-02-13 09:30:00,7.09,7.09,2.9,3.07,371,3.2657
2026-02-13 09:35:00,3.01,3.21,2.74,2.76,414,2.9555
2026-02-13 09:40:00,2.7,3.05,2.27,3,439,2.5377
2026-02-13 09:45:00,3.02,4.17,3.02,3.49,563,3.7872
2026-02-13 09:50:00,3.32,3.5,2.97,3.23,371,3.1712
2026-02-13 09:55:00,3.65,3.73,2.87,2.94,308,3.1697
2026-02-13 10:00:00,3.15,3.45,3.03,3.23,116,3.2635
2026-02-13 10:05:00,2.98,3.61,2.89,3.61,157,3.3235
2026-02-13 10:10:00,3.61,3.83,3.2,3.23,548,3.5553
2026-02-13 10:15:00,3.33,3.35,2.95,3.17,191,3.1126
2026-02-13 10:20:00,3.11,3.5,2.94,3.29,121,3.1884
2026-02-13 10:25:00,3.26,4.07,3.26,3.9,454,3.839
2026-02-13 10:30:00,4,4.59,4,4.38,1739,4.3691
2026-02-13 10:35:00,4.41,4.57,3.64,3.64,1755,4.3328
2026-02-13 10:40:00,3.62,3.75,3.2,3.2,840,3.4473
2026-02-13 10:45:00,3.24,3.38,2.86,2.9,606,3.022
2026-02-13 10:50:00,2.96,3.48,2.95,3.45,324,3.2786
2026-02-13 10:55:00,3.5,3.69,3.25,3.29,210,3.4843
2026-02-13 11:00:00,3.42,3.57,3.3,3.5,393,3.4827
2026-02-13 11:05:00,3.49,3.9,3.46,3.82,192,3.7235
2026-02-13 11:10:00,3.78,3.79,3.16,3.48,157,3.4214
2026-02-13 11:15:00,3.4,3.7,3.23,3.23,186,3.4675
2026-02-13 11:20:00,3.28,3.28,2.85,2.95,183,3.0469
2026-02-13 11:25:00,3.02,3.59,3.02,3.5,157,3.4977
2026-02-13 11:30:00,3.48,3.7,3.25,3.47,196,3.5104
2026-02-13 11:35:00,3.47,3.76,3.47,3.76,382,3.5761
2026-02-13 11:40:00,3.77,3.81,3.55,3.8,256,3.6908
2026-02-13 11:45:00,3.8,4,3.68,3.7,432,3.9104
2026-02-13 11:50:00,3.86,3.94,3.75,3.94,114,3.8365
2026-02-13 11:55:00,3.95,4.23,3.82,3.82,355,4.0704
2026-02-13 12:00:00,3.78,4.04,3.72,4.02,128,3.9099
2026-02-13 12:05:00,4.01,4.15,3.87,3.95,171,4.0264
