datetime,open,high,low,close,volume,vwap
2026-01-12 04:00:00,620.26,621.08,620.25,620.64,34191,620.4704
2026-01-12 04:05:00,620.69,621.02,620.63,620.96,22022,620.7603
2026-01-12 04:10:00,621.01,621.15,620.79,621.05,12527,620.9771
2026-01-12 04:15:00,621.06,621.15,620.81,621.04,12785,621.0396
2026-01-12 04:20:00,620.94,620.99,620.47,620.58,12839,620.7979
2026-01-12 04:25:00,620.59,620.7,620.52,620.65,6332,620.6399
2026-01-12 04:30:00,620.61,620.73,620.32,620.47,25544,620.5429
2026-01-12 04:35:00,620.48,620.59,620.38,620.55,7933,620.482
2026-01-12 04:40:00,620.57,620.78,620.42,620.69,5660,620.6017
2026-01-12 04:45:00,620.58,620.83,620.58,620.74,13775,620.7249
2026-01-12 04:50:00,620.73,621.11,620.59,621.11,9297,620.889
2026-01-12 04:55:00,621.13,621.3,620.93,621.16,9474,621.1352
2026-01-12 05:00:00,621.15,621.19,620.88,621.03,8077,621.0714
2026-01-12 05:05:00,621.04,621.08,620.93,620.95,5354,620.9863
2026-01-12 05:10:00,620.95,621.07,620.88,620.93,8472,620.9666
2026-01-12 05:15:00,620.92,621.3,620.89,621.3,29297,621.0403
2026-01-12 05:20:00,621.22,621.22,620.91,621.19,8467,621.0823
2026-01-12 05:25:00,621.11,621.3,621.07,621.26,5238,621.2137
2026-01-12 05:30:00,621.35,621.61,621.35,621.6,10495,621.509
2026-01-12 05:35:00,621.65,621.65,621.42,621.6,8232,621.5576
2026-01-12 05:40:00,621.6,621.68,621.54,621.54,4087,621.6043
2026-01-12 05:45:00,621.56,621.57,621.48,621.55,3687,621.5141
2026-01-12 05:50:00,621.42,621.48,621.37,621.45,8114,621.4349
2026-01-12 05:55:00,621.45,621.45,621.19,621.36,11273,621.2682
2026-01-12 06:00:00,621.34,621.66,621.32,621.41,18083,621.4967
2026-01-12 06:05:00,621.37,621.62,621.36,621.51,8362,621.5645
2026-01-12 06:10:00,621.68,621.96,621.68,621.84,22691,621.8715
2026-01-12 06:15:00,621.86,621.9,621.53,621.54,8769,621.8051
2026-01-12 06:20:00,621.51,621.67,621.51,621.67,6460,621.6103
2026-01-12 06:25:00,621.68,621.7,621.55,621.62,5385,621.6577
2026-01-12 06:30:00,621.61,621.62,621.45,621.58,7404,621.5035
2026-01-12 06:35:00,621.54,621.7,621.5,621.61,4765,621.5756
2026-01-12 06:40:00,621.52,621.68,621.52,621.6,4748,621.6319
2026-01-12 06:45:00,621.6,621.675,621.47,621.56,6566,621.5322
2026-01-12 06:50:00,621.56,621.57,621.44,621.57,5493,621.4966
2026-01-12 06:55:00,621.53,621.55,621.41,621.55,4776,621.5061
2026-01-12 07:00:00,621.6,621.93,621.48,621.93,29614,621.6366
2026-01-12 07:05:00,621.92,622.17,621.87,621.87,24468,622.0285
2026-01-12 07:10:00,621.91,622.16,621.88,621.97,20854,622.0345
2026-01-12 07:15:00,621.95,622.13,621.95,621.989,17523,622.0469
2026-01-12 07:20:00,622,622.12,622,622.1,18553,622.0765
2026-01-12 07:25:00,622.07,622.07,621.79,621.88,20497,621.9118
2026-01-12 07:30:00,621.93,622.33,621.9,622.33,29891,622.105
2026-01-12 07:35:00,622.28,622.3,621.95,622.01,29033,622.1226
2026-01-12 07:40:00,621.99,622.3,621.96,622.22,22012,622.1549
2026-01-12 07:45:00,622.25,622.3,622.08,622.3,14244,622.1617
2026-01-12 07:50:00,622.33,622.6,622.32,622.6,20968,622.5094
2026-01-12 07:55:00,622.6,622.64,622.38,622.47,11786,622.4955
2026-01-12 08:00:00,621.64,622.633,619.6,622.5,301928,621.4658
2026-01-12 08:05:00,622.48,622.6,621.89,621.9,49534,622.2248
2026-01-12 08:10:00,621.91,622.21,621.91,621.95,47695,622.0099
2026-01-12 08:15:00,621.95,622.55,621.94,622.5,77100,622.2423
2026-01-12 08:20:00,622.54,622.69,622.2,622.26,29436,622.4555
2026-01-12 08:25:00,622.29,622.54,622.29,622.49,15447,622.4144
2026-01-12 08:30:00,622.5,622.5,622.12,622.38,28392,622.2993
2026-01-12 08:35:00,622.38,622.46,622.19,622.41,16284,622.2899
2026-01-12 08:40:00,622.41,622.5,622.09,622.29,60073,622.3039
2026-01-12 08:45:00,622.27,622.35,622.17,622.24,33868,622.2556
2026-01-12 08:50:00,622.22,622.49,622.16,622.4,20807,622.3542
2026-01-12 08:55:00,622.38,622.63,622.24,622.24,40496,622.5179
2026-01-12 09:00:00,622.21,622.4,622.17,622.23,25868,622.2552
2026-01-12 09:05:00,622.23,622.5,621.98,622.33,75545,622.2226
2026-01-12 09:10:00,622.34,622.34,622.15,622.2,30207,622.2334
2026-01-12 09:15:00,622.18,622.28,621.81,622.1,86724,622.0838
2026-01-12 09:20:00,622.11,622.25,621.79,621.82,21080,622.071
2026-01-12 09:25:00,621.791,622.41,621.67,622.31,174424,621.9464
2026-01-12 09:30:00,622.31,625.04,622.26,624.9488,1896368.0,623.7699
2026-01-12 09:35:00,624.93,625.72,624.715,625.56,1398877.0,625.2389
2026-01-12 09:40:00,625.57,625.8,624.76,624.84,1211558.0,625.2802
2026-01-12 09:45:00,624.86,625.35,624.4,625.27,1000242.0,624.798
2026-01-12 09:50:00,625.285,626.54,625.19,625.84,1054462.0,625.9794
2026-01-12 09:55:00,625.82,626.41,625.745,625.97,606961,626.0346
2026-01-12 10:00:00,625.99,626.14,625.32,625.41,781947,625.7566
2026-01-12 10:05:00,625.41,625.75,625.18,625.56,560321,625.4938
2026-01-12 10:10:00,625.53,626.13,625.28,626.09,778685,625.746
2026-01-12 10:15:00,626.09,626.22,625.6,626.06,731413,625.9335
2026-01-12 10:20:00,626.06,626.73,625.93,626.41,852958,626.241
2026-01-12 10:25:00,626.41,626.76,626.23,626.48,613327,626.4435
2026-01-12 10:30:00,626.47,626.51,625.41,625.74,756293,625.8428
2026-01-12 10:35:00,625.74,626.15,625.47,625.98,486020,625.7996
2026-01-12 10:40:00,625.98,626.02,625.34,625.64,510109,625.6803
2026-01-12 10:45:00,625.64,625.91,625.09,625.83,469922,625.5234
2026-01-12 10:50:00,625.83,626.23,625.53,626.1499,383693,625.8454
