datetime,open,high,low,close,volume,vwap
2025-12-29,620.1,622.78,618.73,620.87,32697774.0,620.5421
2025-12-30,619.84,622.18,619.215,619.43,31216441.0,620.4419
2025-12-31,619.65,619.96,614.05,614.31,40744395.0,616.8492
2026-01-02,620.06,622.85,610.15,613.12,61939468.0,614.9035
2026-01-05,619.32,620.81,616.72,617.99,46825871.0,618.5467
2026-01-06,619.23,624.0213,618.54,623.42,43136061.0,621.7611
2026-01-07,623.04,627.94,622.56,624.02,44875959.0,625.2265
2026-01-08,623.03,623.42,617.8,620.47,50427174.0,620.0738
2026-01-09,621.41,627.89,619.06,626.65,49024692.0,624.7793
2026-01-12,622.31,628.845,622.26,627.17,37388099.0,626.4647
2026-01-13,627.27,629.47,623.695,626.24,44392176.0,626.2645
2026-01-14,622.24,623.45,614.56,619.55,72698814.0,618.3039
2026-01-15,626.6,630,620.75,621.78,53931998.0,624.2878
2026-01-16,625.5,626.08,618.88,621.26,61476436.0,622.0557
2026-01-20,610.53,615.055,607.05,608.06,81991174.0,611.3883
2026-01-21,609.47,620.42,607.8635,616.28,79809657.0,613.3979
2026-01-22,622.35,622.46,617.78,620.76,42247761.0,620.3536
2026-01-23,619.73,625.3999,618.65,622.72,44358457.0,622.5426
2026-01-26,623.21,627.61,622.12,625.46,35810259.0,625.7887
2026-01-27,628.91,632.0427,627.34,631.13,39017052.0,630.7267
2026-01-28,635.46,636.6,631.81,633.22,50346423.0,633.8304
2026-01-29,632.65,633.67,618.27,629.43,80244890.0,625.6964
2026-01-30,625.71,628.256,619.2975,621.87,65648289.0,623.8349
2026-02-02,618.7,628.49,618.66,626.14,49015389.0,625.5428
2026-02-03,628.3,629.98,610.96,616.52,81204321.0,617.4894
2026-02-04,615.02,615.1,600.47,605.75,81915689.0,607.5037
2026-02-05,600.21,604.81,594.76,597.03,89375742.0,598.9497
2026-02-06,600.19,611.41,598.77,609.65,78008851.0,605.5979
2026-02-09,607.54,616.46,605.07,614.32,56968231.0,612.9841
2026-02-10,615.305,617.02,611.01,611.47,53924607.0,614.1192
2026-02-11,616.38,617.52,607.69,613.11,58561906.0,612.6123
2026-02-12,614.71,615.81,599.5699,600.64,81378904.0,605.6515
2026-02-13,600.43,606.48,596.42,601.92,69277400.0,602.3735
